source,destination,travel_time
Mumbai,Delhi,2
Mumbai,Kolkata,1.5
Delhi,Mumbai,2.5
Delhi,Chennai,1
Kolkata,Mumbai,2.5
Kolkata,Bangalore,3
Kolkata,Jaipur,1.5
Chennai,Kolkata,4
Chennai,Hyderabad,2
Chennai,Varanasi,3
Hyderabad,Chennai,4
Hyderabad,Bangalore,2.5
Hyderabad,Goa,3.5
Bangalore,Delhi,5
Bangalore,Goa,3
Bangalore,Pune,6
Lucknow,Pune,3
Lucknow,Patna,7
Pune,Bangalore,1.5
Pune,Lucknow,5.5
Pune,Chennai,3
Pune,Jaipur,2.5
Jaipur,Goa,4
Jaipur,Pune,3.5
Jaipur,Kolkata,2
Varanasi,Jaipur,5
Varanasi,Visakhapatnam,2.5
Patna,Jaipur,3.5
Patna,Kochi,4.5
Patna,Lucknow,4
Kochi,Patna,4
Kochi,Pune,2.5
Kochi,Varanasi,3
Goa,Lucknow,6.5
Goa,Kochi,3
Goa,Varanasi,7.5
Lucknow,Goa,1
Lucknow,Varanasi,7
Lucknow,Mumbai,2
Lucknow,Chennai,1.5
Mumbai,Lucknow,2.5
Mumbai,Chennai,1
Mumbai,Hyderabad,2.5
Chennai,Goa,3
Chennai,Mumbai,1.5
Chennai,Delhi,4
Chennai,Bangalore,2
Delhi,Pune,3
Delhi,Chennai,4
Mumbai,Delhi,2.5
Bangalore,Chennai,3.5
Kolkata,Hyderabad,5
Ahmedabad,Pune,3
Jaipur,Lucknow,6
Surat,Patna,3
Kanpur,Nagpur,7
Indore,Visakhapatnam,1.5
Thane,Bhopal,5.5
Agra,Vadodara,3
Nashik,Varanasi,2.5
Faridabad,Nashik,4
Meerut,Rajkot,3.5
Ranchi,Meerut,2
Srinagar,Amritsar,5
Chandigarh,Srinagar,2.5
Mysore,Coimbatore,3.5
Ghaziabad,Madurai,4.5
Jodhpur,Kochi,4
Guwahati,Jodhpur,4
Delhi,Chandigarh,2.5
Pune,Thane,3
Lucknow,Jabalpur,6.5
Patna,Allahabad,3
Nagpur,Bangalore,7.5
Visakhapatnam,Kolkata,1
Bhopal,Ahmedabad,7
Vadodara,Jaipur,2
Varanasi,Surat,1.5
Rajkot,Kanpur,2.5
Jabalpur,Indore,1
Amritsar,Agra,2.5
Allahabad,Faridabad,3
Coimbatore,Ranchi,1.5
Madurai,Mysore,4
Kochi,Ghaziabad,2
Kota,Guwahati,3
