CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,1.7,4.6,375
Bhubaneswar,2,4.1,1.9,357
Bhubaneswar,3,2.6,8.7,529
Bhubaneswar,4,4.4,9.0,737
Bhubaneswar,5,4.0,2.8,305
Bhubaneswar,6,1.1,6.0,70
Bhubaneswar,7,1.3,6.1,437
Bhubaneswar,8,4.1,6.7,319
Bhubaneswar,9,3.4,2.6,808
Bhubaneswar,10,4.1,9.8,989
Bhubaneswar,11,3.9,2.0,617
Bhubaneswar,12,3.0,8.5,27
Bhubaneswar,13,5.0,1.6,948
Bhubaneswar,14,1.6,4.1,191
Bhubaneswar,15,2.7,5.4,218
Bhubaneswar,16,3.2,1.7,517
Bhubaneswar,17,3.2,7.2,467
Bhubaneswar,18,2.8,2.7,304
Bhubaneswar,19,2.0,3.3,763
Bhubaneswar,20,3.4,4.1,287
Bhubaneswar,21,2.3,7.9,510
Bhubaneswar,22,1.0,4.7,289
Bhubaneswar,23,4.9,6.9,501
Bhubaneswar,24,2.0,5.2,871
Bhubaneswar,25,3.8,3.4,839
Bhubaneswar,26,1.6,7.2,265
Bhubaneswar,27,2.7,3.7,746
Bhubaneswar,28,2.4,7.9,460
Bhubaneswar,29,1.7,1.6,478
Bhubaneswar,30,1.9,8.3,232
Bhubaneswar,31,4.6,6.2,158
Bhubaneswar,32,2.7,4.3,95
Bhubaneswar,33,1.0,2.7,270
Bhubaneswar,34,3.4,6.4,75
Bhubaneswar,35,1.9,2.6,768
Bhubaneswar,36,1.9,5.5,659
Bhubaneswar,37,1.6,1.6,517
Bhubaneswar,38,4.1,1.9,38
Bhubaneswar,39,1.8,6.0,859
Bhubaneswar,40,1.9,3.2,164
Bhubaneswar,41,3.1,6.7,432
Bhubaneswar,42,3.7,2.8,542
Bhubaneswar,43,1.7,8.3,324
Bhubaneswar,44,1.5,2.3,233
Bhubaneswar,45,1.4,8.5,196
Bhubaneswar,46,3.4,2.4,689
Bhubaneswar,47,2.9,6.0,408
Bhubaneswar,48,1.1,4.2,497
Bhubaneswar,49,4.2,9.0,682
Bhubaneswar,50,1.1,3.1,839
Bhubaneswar,51,1.0,6.2,214
Bhubaneswar,52,2.9,7.8,818
Bhubaneswar,53,4.7,6.5,818
Bhubaneswar,54,3.0,2.5,769
Bhubaneswar,55,4.2,3.7,402
Bhubaneswar,56,2.2,6.2,249
Bhubaneswar,57,2.9,6.7,627
Bhubaneswar,58,2.8,5.0,250
Bhubaneswar,59,3.3,6.6,637
Bhubaneswar,60,1.1,7.8,605
Bhubaneswar,61,4.0,3.6,147
Bhubaneswar,62,2.6,5.1,657
Bhubaneswar,63,3.6,5.4,451
Bhubaneswar,64,2.7,2.0,555
Bhubaneswar,65,2.5,3.4,468
Bhubaneswar,66,3.2,4.9,729
Bhubaneswar,67,4.1,7.5,837
Bhubaneswar,68,2.9,4.2,264
Bhubaneswar,69,2.3,5.9,359
Bhubaneswar,70,2.1,9.1,628
Bhubaneswar,71,2.1,6.7,733
Bhubaneswar,72,4.5,8.4,321
Bhubaneswar,73,4.6,6.5,682
Bhubaneswar,74,4.8,7.3,430
Bhubaneswar,75,1.7,4.7,929
Bhubaneswar,76,4.2,2.5,89
Bhubaneswar,77,1.3,5.8,897
Bhubaneswar,78,4.5,3.9,566
Bhubaneswar,79,2.6,4.1,841
Bhubaneswar,80,2.9,8.1,421
Bhubaneswar,81,1.4,8.0,161
Bhubaneswar,82,4.4,2.3,978
Bhubaneswar,83,2.0,8.2,659
Bhubaneswar,84,4.0,1.5,671
Bhubaneswar,85,2.0,5.2,847
Bhubaneswar,86,4.9,2.2,533
Bhubaneswar,87,3.4,7.0,494
Bhubaneswar,88,4.5,9.2,715
Bhubaneswar,89,1.3,7.4,622
Bhubaneswar,90,4.3,4.1,766
Bhubaneswar,91,4.7,3.1,964
Bhubaneswar,92,3.2,1.2,637
Bhubaneswar,93,2.9,5.7,288
Bhubaneswar,94,2.0,1.0,670
Bhubaneswar,95,2.1,6.4,45
Bhubaneswar,96,1.9,4.6,150
Bhubaneswar,97,4.1,2.8,647
Bhubaneswar,98,2.6,2.3,820
Bhubaneswar,99,4.0,4.4,433
Bhubaneswar,100,2.5,8.4,545
Bhubaneswar,101,2.4,1.7,312
Bhubaneswar,102,4.9,8.4,512
Bhubaneswar,103,1.7,2.9,744
Bhubaneswar,104,3.9,8.5,326
Bhubaneswar,105,2.2,5.7,320
Bhubaneswar,106,1.0,9.4,528
Bhubaneswar,107,1.5,6.5,816
Bhubaneswar,108,2.6,6.2,427
Bhubaneswar,109,4.5,8.5,607
Bhubaneswar,110,2.0,5.6,674
Bhubaneswar,111,3.0,8.4,421
Bhubaneswar,112,1.2,7.5,175
Bhubaneswar,113,2.0,4.8,359
Bhubaneswar,114,4.1,6.8,371
Bhubaneswar,115,3.5,5.0,732
Bhubaneswar,116,2.5,1.5,875
Bhubaneswar,117,5.0,7.0,663
Bhubaneswar,118,3.6,9.4,585
Bhubaneswar,119,1.1,5.5,685
Bhubaneswar,120,2.6,9.7,28
Bhubaneswar,121,1.8,9.4,414
Bhubaneswar,122,1.7,6.3,766
Bhubaneswar,123,3.1,5.3,610
Bhubaneswar,124,1.7,7.6,576
Bhubaneswar,125,2.1,6.8,113
Bhubaneswar,126,3.8,3.8,865
Bhubaneswar,127,3.9,8.7,844
Bhubaneswar,128,1.2,9.8,200
Cuttack,129,3.2,4.7,794
Cuttack,130,3.6,4.1,10
Cuttack,131,1.6,4.5,917
Cuttack,132,1.1,4.1,797
Cuttack,133,2.6,1.2,839
Cuttack,134,2.6,1.1,206
Cuttack,135,1.7,7.8,414
Cuttack,136,2.3,9.9,249
Cuttack,137,1.8,3.1,708
Cuttack,138,3.1,8.0,243
Cuttack,139,2.1,3.8,562
Cuttack,140,2.3,3.9,554
Cuttack,141,2.0,1.5,228
Cuttack,142,1.4,3.4,146
Cuttack,143,4.3,4.4,623
Cuttack,144,2.8,9.4,118
Cuttack,145,3.0,1.5,32
Cuttack,146,4.6,2.2,720
Cuttack,147,2.7,9.0,852
Cuttack,148,4.7,9.0,568
Cuttack,149,2.3,8.0,494
Cuttack,150,3.1,5.1,161
Cuttack,151,2.8,4.1,802
Cuttack,152,3.1,8.3,973
Cuttack,153,5.0,7.3,911
Cuttack,154,2.4,9.0,556
Cuttack,155,1.0,5.6,426
Cuttack,156,4.5,8.2,984
Cuttack,157,1.5,8.5,805
Cuttack,158,4.8,5.2,255
Cuttack,159,1.5,2.6,101
Cuttack,160,3.4,1.5,481
Cuttack,161,4.4,2.2,325
Cuttack,162,4.2,9.1,999
Cuttack,163,1.0,4.0,369
Cuttack,164,2.5,5.1,569
Cuttack,165,2.7,7.7,938
Cuttack,166,4.0,9.2,837
