CITYNAME,PLACES_ID,RATINGS,TIME(HOURS),COST
Bhubaneswar,1,3.5,2.6,863
Bhubaneswar,2,3.9,1.7,932
Bhubaneswar,3,1.5,6.8,653
Bhubaneswar,4,4.0,7.9,95
Bhubaneswar,5,3.0,5.0,109
Cuttack,6,2.3,5.8,39
Cuttack,7,2.4,9.2,968
Cuttack,8,2.6,1.9,297
Cuttack,9,1.9,7.1,980
Cuttack,10,1.7,6.8,192
Kolkata,11,1.4,9.7,88
Kolkata,12,4.4,7.6,868
Kolkata,13,5.0,5.1,973
Kolkata,14,4.1,1.5,610
Kolkata,15,2.0,1.5,968
Visakhapatnam,16,3.3,1.6,989
Visakhapatnam,17,3.0,6.1,541
Visakhapatnam,18,3.4,3.9,15
Visakhapatnam,19,1.9,3.0,454
Visakhapatnam,20,3.5,5.3,150
