source,destination,cost,time(in hrs)
1,2,150,2.5
1,3,150,2.5
1,4,330,5.5
1,5,90,1.5
1,6,180,3
1,7,150,2.5
1,8,180,3
1,9,210,3.5
1,10,210,3.5
1,11,90,1.5
1,12,90,1.5
1,13,210,3.5
1,14,210,3.5
1,15,210,3.5
1,16,210,3.5
1,17,210,3.5
1,18,180,3
1,19,210,3.5
1,20,210,3.5
1,21,60,1
1,22,180,3
1,23,180,3
1,24,180,3
1,25,180,3
1,26,180,3
1,27,180,3
1,28,150,2.5
1,29,270,4.5
1,30,150,2.5
1,31,30,0.5
1,32,120,2
1,33,180,3
1,34,150,2.5
1,35,90,1.5
1,36,90,1.5
1,37,150,2.5
1,38,120,2
1,39,180,3
1,40,30,0.5
1,41,30,0.5
1,42,90,1.5
1,43,150,2.5
1,44,150,2.5
1,45,390,6.5
1,46,90,1.5
1,47,90,1.5
1,48,90,1.5
1,49,90,1.5
1,50,90,1.5
1,51,150,2.5
1,52,90,1.5
1,53,90,1.5
1,54,120,2
1,55,150,2.5
1,56,180,3
1,57,150,2.5
1,58,150,2.5
1,59,210,3.5
1,60,210,3.5
1,61,210,3.5
1,62,180,3
1,63,210,3.5
1,64,270,4.5
1,65,180,3
1,66,60,1
1,67,90,1.5
1,68,210,3.5
1,69,210,3.5
1,70,210,3.5
1,71,90,1.5
1,72,30,0.5
1,73,180,3
1,74,210,3.5
1,75,120,2
1,76,60,1
1,77,150,2.5
1,78,180,3
1,79,180,3
1,80,270,4.5
1,81,240,4
1,82,180,3
1,83,150,2.5
1,84,180,3
1,85,60,1
1,86,120,2
1,87,150,2.5
1,88,150,2.5
1,89,90,1.5
1,90,90,1.5
1,91,90,1.5
1,92,30,0.5
1,93,150,2.5
1,94,150,2.5
1,95,150,2.5
1,96,90,1.5
1,97,180,3
1,98,210,3.5
1,99,90,1.5
1,100,210,3.5
1,101,90,1.5
1,102,90,1.5
1,103,150,2.5
1,104,120,2
1,105,30,0.5
1,106,30,0.5
1,107,180,3
1,108,210,3.5
1,109,150,2.5
1,110,150,2.5
1,111,60,1
1,112,270,4.5
1,113,90,1.5
1,114,90,1.5
1,115,90,1.5
1,116,180,3
1,117,180,3
1,118,90,1.5
1,119,90,1.5
1,120,90,1.5
1,121,150,2.5
1,122,150,2.5
1,123,150,2.5
1,124,150,2.5
1,125,210,3.5
1,126,60,1
1,127,180,3
2,3,180,3
2,4,180,3
2,5,60,1
2,6,120,2
2,7,30,0.5
2,8,120,2
2,9,120,2
2,10,150,2.5
2,11,120,2
2,12,60,1
2,13,210,3.5
2,14,180,3
2,15,180,3
2,16,180,3
2,17,210,3.5
2,18,180,3
2,19,30,0.5
2,20,30,0.5
2,21,240,4
2,22,30,0.5
2,23,30,0.5
2,24,30,0.5
2,25,30,0.5
2,26,30,0.5
2,27,30,0.5
2,28,30,0.5
2,29,270,4.5
2,30,60,1
2,31,180,3
2,32,90,1.5
2,33,120,2
2,34,30,0.5
2,35,180,3
2,36,90,1.5
2,37,30,0.5
2,38,60,1
2,39,60,1
2,40,120,2
2,41,180,3
2,42,180,3
2,43,240,4
2,44,210,3.5
2,45,270,4.5
2,46,180,3
2,47,180,3
2,48,180,3
2,49,180,3
2,50,150,2.5
2,51,210,3.5
2,52,180,3
2,53,180,3
2,54,60,1
2,55,210,3.5
2,56,180,3
2,57,210,3.5
2,58,210,3.5
2,59,60,1
2,60,60,1
2,61,90,1.5
2,62,150,2.5
2,63,120,2
2,64,210,3.5
2,65,120,2
2,66,120,2
2,67,90,1.5
2,68,120,2
2,69,120,2
2,70,150,2.5
2,71,60,1
2,72,180,3
2,73,120,2
2,74,120,2
2,75,60,1
2,76,240,4
2,77,60,1
2,78,60,1
2,79,60,1
2,80,270,4.5
2,81,210,3.5
2,82,120,2
2,83,0,0
2,84,30,0.5
2,85,180,3
2,86,90,1.5
2,87,30,0.5
2,88,30,0.5
2,89,90,1.5
2,90,90,1.5
2,91,90,1.5
2,92,120,2
2,93,90,1.5
2,94,120,2
2,95,30,0.5
2,96,90,1.5
2,97,120,2
2,98,120,2
2,99,60,1
2,100,180,3
2,101,150,2.5
2,102,60,1
2,103,240,4
2,104,240,4
2,105,120,2
2,106,150,2.5
2,107,60,1
2,108,120,2
2,109,210,3.5
2,110,150,2.5
2,111,240,4
2,112,120,2
2,113,150,2.5
2,114,150,2.5
2,115,180,3
2,116,300,5
2,117,300,5
2,118,60,1
2,119,90,1.5
2,120,90,1.5
2,121,270,4.5
2,122,270,4.5
2,123,270,4.5
2,124,270,4.5
2,125,120,2
2,126,90,1.5
2,127,90,1.5
3,4,180,3
3,5,60,1
3,6,120,2
3,7,30,0.5
3,8,90,1.5
3,9,120,2
3,10,120,2
3,11,90,1.5
3,12,60,1
3,13,180,3
3,14,180,3
3,15,180,3
3,16,180,3
3,17,180,3
3,18,150,2.5
3,19,30,0.5
3,20,30,0.5
3,21,240,4
3,22,30,0.5
3,23,30,0.5
3,24,30,0.5
3,25,30,0.5
3,26,30,0.5
3,27,30,0.5
3,28,30,0.5
3,29,240,4
3,30,60,1
3,31,150,2.5
3,32,90,1.5
3,33,120,2
3,34,30,0.5
3,35,180,3
3,36,90,1.5
3,37,30,0.5
3,38,60,1
3,39,60,1
3,40,120,2
3,41,180,3
3,42,150,2.5
3,43,240,4
3,44,210,3.5
3,45,270,4.5
3,46,150,2.5
3,47,150,2.5
3,48,150,2.5
3,49,150,2.5
3,50,150,2.5
3,51,210,3.5
3,52,150,2.5
3,53,150,2.5
3,54,60,1
3,55,210,3.5
3,56,180,3
3,57,210,3.5
3,58,210,3.5
3,59,60,1
3,60,60,1
3,61,90,1.5
3,62,150,2.5
3,63,120,2
3,64,210,3.5
3,65,120,2
3,66,120,2
3,67,60,1
3,68,120,2
3,69,120,2
3,70,150,2.5
3,71,60,1
3,72,180,3
3,73,120,2
3,74,120,2
3,75,60,1
3,76,240,4
3,77,60,1
3,78,60,1
3,79,60,1
3,80,240,4
3,81,210,3.5
3,82,120,2
3,83,0,0
3,84,30,0.5
3,85,180,3
3,86,90,1.5
3,87,30,0.5
3,88,30,0.5
3,89,90,1.5
3,90,90,1.5
3,91,90,1.5
3,92,120,2
3,93,60,1
3,94,90,1.5
3,95,30,0.5
3,96,90,1.5
3,97,120,2
3,98,120,2
3,99,60,1
3,100,180,3
3,101,150,2.5
3,102,60,1
3,103,240,4
3,104,210,3.5
3,105,120,2
3,106,120,2
3,107,60,1
3,108,120,2
3,109,210,3.5
3,110,150,2.5
3,111,240,4
3,112,120,2
3,113,150,2.5
3,114,150,2.5
3,115,150,2.5
3,116,300,5
3,117,300,5
3,118,60,1
3,119,60,1
3,120,60,1
3,121,270,4.5
3,122,270,4.5
3,123,270,4.5
3,124,270,4.5
3,125,90,1.5
3,126,90,1.5
3,127,90,1.5
4,5,150,2.5
4,6,60,1
4,7,120,2
4,8,90,1.5
4,9,90,1.5
4,10,90,1.5
4,11,90,1.5
4,12,120,2
4,13,60,1
4,14,60,1
4,15,60,1
4,16,60,1
4,17,60,1
4,18,30,0.5
4,19,150,2.5
4,20,180,3
4,21,150,2.5
4,22,150,2.5
4,23,150,2.5
4,24,150,2.5
4,25,150,2.5
4,26,150,2.5
4,27,150,2.5
4,28,210,3.5
4,29,120,2
4,30,90,1.5
4,31,120,2
4,32,90,1.5
4,33,60,1
4,34,180,3
4,35,30,0.5
4,36,180,3
4,37,180,3
4,38,210,3.5
4,39,120,2
4,40,120,2
4,41,150,2.5
4,42,30,0.5
4,43,60,1
4,44,60,1
4,45,450,7.5
4,46,30,0.5
4,47,30,0.5
4,48,30,0.5
4,49,30,0.5
4,50,30,0.5
4,51,30,0.5
4,52,30,0.5
4,53,30,0.5
4,54,210,3.5
4,55,60,1
4,56,30,0.5
4,57,30,0.5
4,58,60,1
4,59,240,4
4,60,240,4
4,61,270,4.5
4,62,30,0.5
4,63,120,2
4,64,120,2
4,65,60,1
4,66,90,1.5
4,67,90,1.5
4,68,60,1
4,69,90,1.5
4,70,60,1
4,71,150,2.5
4,72,120,2
4,73,60,1
4,74,90,1.5
4,75,210,3.5
4,76,150,2.5
4,77,210,3.5
4,78,120,2
4,79,120,2
4,80,120,2
4,81,60,1
4,82,60,1
