Source,Destination,Time(hrs),Cost(Rs),PLACES,RATINGS,TIME(HOURS),COST
Bhubaneswar Railway Station(Bhubaneswar),Lingaraj Temple(Bhubaneswar),0.25,150,Lingaraj Temple(Bhubaneswar),4.5,3.1,0
Bhubaneswar Railway Station(Bhubaneswar),Nandankanan Zoological Park(Bhubaneswar),0.5,200,Nandankanan Zoological Park(Bhubaneswar),4.4,4.5,250
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),0.1,30,Odisha State Museum(Bhubaneswar),4.1,2.2,30
Bhubaneswar Railway Station(Bhubaneswar),ISKCON Temple(Bhubaneswar),0.2,130,ISKCON Temple(Bhubaneswar),4.3,1.5,0
Bhubaneswar Railway Station(Bhubaneswar),Rajarani Temple(Bhubaneswar),0.15,70,Rajarani Temple(Bhubaneswar),4.2,2.3,0
Bhubaneswar Railway Station(Bhubaneswar),Ram mandir(Bhubaneswar),0.08,85,Ram mandir(Bhubaneswar),4.1,2.2,0
Lingaraj Temple(Bhubaneswar),Nandankanan Zoological Park(Bhubaneswar),0.66,220,Nandankanan Zoological Park(Bhubaneswar),4.4,4.5,250
Lingaraj Temple(Bhubaneswar),Odisha State Museum(Bhubaneswar),0.11,55,Odisha State Museum(Bhubaneswar),4.1,2.2,30
Lingaraj Temple(Bhubaneswar),Dhauli Shanti Stupa(Bhubaneswar),0.26,100,Dhauli Shanti Stupa(Bhubaneswar),3.9,1.5,0
Lingaraj Temple(Bhubaneswar),ISKCON Temple(Bhubaneswar),0.33,140,ISKCON Temple(Bhubaneswar),4.3,1.5,0
Lingaraj Temple(Bhubaneswar),Rajarani Temple(Bhubaneswar),0.11,55,Rajarani Temple(Bhubaneswar),4.2,2.3,0
Lingaraj Temple(Bhubaneswar),Ram mandir(Bhubaneswar),0.21,150,Ram mandir(Bhubaneswar),4.1,2.2,0
Nandankanan Zoological Park(Bhubaneswar),Odisha State Museum(Bhubaneswar),0.58,220,Odisha State Museum(Bhubaneswar),4.1,2.2,30
Nandankanan Zoological Park(Bhubaneswar),Dhauli Shanti Stupa(Bhubaneswar),0.8,290,Dhauli Shanti Stupa(Bhubaneswar),3.9,1.5,0
Nandankanan Zoological Park(Bhubaneswar),ISKCON Temple(Bhubaneswar),0.36,150,ISKCON Temple(Bhubaneswar),4.3,1.5,0
Nandankanan Zoological Park(Bhubaneswar),Rajarani Temple(Bhubaneswar),0.46,200,Rajarani Temple(Bhubaneswar),4.2,2.3,0
Nandankanan Zoological Park(Bhubaneswar),Ram mandir(Bhubaneswar),0.36,190,Ram mandir(Bhubaneswar),4.1,2.2,0
Odisha State Museum(Bhubaneswar),Dhauli Shanti Stupa(Bhubaneswar),0.3,185,Dhauli Shanti Stupa(Bhubaneswar),3.9,1.5,0
Odisha State Museum(Bhubaneswar),ISKCON Temple(Bhubaneswar),0.25,100,ISKCON Temple(Bhubaneswar),4.3,1.5,0
Odisha State Museum(Bhubaneswar),Rajarani Temple(Bhubaneswar),0.08,50,Rajarani Temple(Bhubaneswar),4.2,2.3,0
Odisha State Museum(Bhubaneswar),Ram mandir(Bhubaneswar),0.13,70,Ram mandir(Bhubaneswar),4.1,2.2,0
Dhauli Shanti Stupa(Bhubaneswar),ISKCON Temple(Bhubaneswar),0.3,100,ISKCON Temple(Bhubaneswar),4.3,1.5,0
Dhauli Shanti Stupa(Bhubaneswar),Rajarani Temple(Bhubaneswar),0.28,103,Rajarani Temple(Bhubaneswar),4.2,2.3,0
Dhauli Shanti Stupa(Bhubaneswar),Ram mandir(Bhubaneswar),0.38,150,Ram mandir(Bhubaneswar),4.1,2.2,0
ISKCON Temple(Bhubaneswar),Rajarani Temple(Bhubaneswar),0.16,55,Rajarani Temple(Bhubaneswar),4.2,2.3,0
ISKCON Temple(Bhubaneswar),Ram mandir(Bhubaneswar),0.2,150,Ram mandir(Bhubaneswar),4.1,2.2,0
