source,destination,average_rating,cost,time,no of places,path
Visakhapatnam Railway Station(Visakhapatnam),Howrah Bridge(Kolkata),4.183333333333334,7735.0,63.67999999999999,6,Visakhapatnam Railway Station(Visakhapatnam) -> Dakshineswar Kali Temple(Kolkata) -> Cuttack Chandi Temple(Cuttack) -> Victoria Memorial(Kolkata) -> Stone Revetment(Cuttack) -> Howrah Bridge(Kolkata)
Visakhapatnam Railway Station(Visakhapatnam),Howrah Bridge(Kolkata),4.183333333333334,7855.0,63.94,6,Visakhapatnam Railway Station(Visakhapatnam) -> Dakshineswar Kali Temple(Kolkata) -> Stone Revetment(Cuttack) -> Victoria Memorial(Kolkata) -> Cuttack Chandi Temple(Cuttack) -> Howrah Bridge(Kolkata)
Visakhapatnam Railway Station(Visakhapatnam),Howrah Bridge(Kolkata),4.183333333333334,7881.0,64.28999999999999,6,Visakhapatnam Railway Station(Visakhapatnam) -> Victoria Memorial(Kolkata) -> Cuttack Chandi Temple(Cuttack) -> Dakshineswar Kali Temple(Kolkata) -> Stone Revetment(Cuttack) -> Howrah Bridge(Kolkata)
Visakhapatnam Railway Station(Visakhapatnam),Howrah Bridge(Kolkata),4.183333333333333,7986.0,64.46,6,Visakhapatnam Railway Station(Visakhapatnam) -> Victoria Memorial(Kolkata) -> Stone Revetment(Cuttack) -> Dakshineswar Kali Temple(Kolkata) -> Cuttack Chandi Temple(Cuttack) -> Howrah Bridge(Kolkata)
Visakhapatnam Railway Station(Visakhapatnam),Howrah Bridge(Kolkata),4.083333333333333,7820.0,62.900000000000006,6,Visakhapatnam Railway Station(Visakhapatnam) -> Dakshineswar Kali Temple(Kolkata) -> Qadam-I-Rasool(Cuttack) -> Victoria Memorial(Kolkata) -> Stone Revetment(Cuttack) -> Howrah Bridge(Kolkata)
Visakhapatnam Railway Station(Visakhapatnam),Howrah Bridge(Kolkata),4.066666666666667,7805.0,63.39,6,Visakhapatnam Railway Station(Visakhapatnam) -> Park Street(Kolkata) -> Cuttack Chandi Temple(Cuttack) -> Dakshineswar Kali Temple(Kolkata) -> Stone Revetment(Cuttack) -> Howrah Bridge(Kolkata)
Visakhapatnam Railway Station(Visakhapatnam),Howrah Bridge(Kolkata),4.2,8135.0,64.38999999999999,6,Visakhapatnam Railway Station(Visakhapatnam) -> Dakshineswar Kali Temple(Kolkata) -> Qadam-I-Rasool(Cuttack) -> Victoria Memorial(Kolkata) -> Cuttack Chandi Temple(Cuttack) -> Howrah Bridge(Kolkata)
Visakhapatnam Railway Station(Visakhapatnam),Howrah Bridge(Kolkata),4.2,8170.0,64.43,6,Visakhapatnam Railway Station(Visakhapatnam) -> Dakshineswar Kali Temple(Kolkata) -> Cuttack Chandi Temple(Cuttack) -> Victoria Memorial(Kolkata) -> Qadam-I-Rasool(Cuttack) -> Howrah Bridge(Kolkata)
Visakhapatnam Railway Station(Visakhapatnam),Howrah Bridge(Kolkata),4.1000000000000005,7980.0,63.53999999999999,6,Visakhapatnam Railway Station(Visakhapatnam) -> Park Street(Kolkata) -> Cuttack Chandi Temple(Cuttack) -> Victoria Memorial(Kolkata) -> Stone Revetment(Cuttack) -> Howrah Bridge(Kolkata)
Visakhapatnam Railway Station(Visakhapatnam),Howrah Bridge(Kolkata),4.083333333333333,7966.0,63.510000000000005,6,Visakhapatnam Railway Station(Visakhapatnam) -> Victoria Memorial(Kolkata) -> Qadam-I-Rasool(Cuttack) -> Dakshineswar Kali Temple(Kolkata) -> Stone Revetment(Cuttack) -> Howrah Bridge(Kolkata)
