source,destination,average_rating,cost,time,no of places,path
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.1,210.0,9.289999999999997,4,Bhubaneswar Railway Station(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.074999999999999,210.0,9.17,4,Bhubaneswar Railway Station(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),3.8,60.0,3.5000000000000004,2,Bhubaneswar Railway Station(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.0200000000000005,400.0,9.780000000000001,5,Bhubaneswar Railway Station(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.0,403.0,9.68,5,Bhubaneswar Railway Station(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.0200000000000005,410.0,9.66,5,Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.0,413.0,9.559999999999999,5,Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),3.9333333333333336,150.0,5.930000000000001,3,Bhubaneswar Railway Station(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.1,285.0,9.359999999999998,4,Bhubaneswar Railway Station(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.074999999999999,285.0,9.24,4,Bhubaneswar Railway Station(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),3.9666666666666663,160.0,6.09,3,Bhubaneswar Railway Station(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.05,320.0,9.1,4,Bhubaneswar Railway Station(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),3.9,185.0,5.8100000000000005,3,Bhubaneswar Railway Station(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.1,355.0,8.639999999999999,4,Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),3.9499999999999997,385.0,8.03,4,Bhubaneswar Railway Station(Bhubaneswar) -> Mukteswara Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.05,400.0,9.290000000000001,4,Bhubaneswar Railway Station(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Ram mandir(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),3.925,388.0,7.930000000000001,4,Bhubaneswar Railway Station(Bhubaneswar) -> Rajarani Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.1,420.0,8.83,4,Bhubaneswar Railway Station(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.033333333333333,235.0,6.86,3,Bhubaneswar Railway Station(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),3.9499999999999997,445.0,7.2,4,Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),4.0,465.0,8.81,4,Bhubaneswar Railway Station(Bhubaneswar) -> Lingaraj Temple(Bhubaneswar) -> Dhauli Shanti Stupa(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
Bhubaneswar Railway Station(Bhubaneswar),Odisha State Museum(Bhubaneswar),3.9666666666666663,260.0,5.3500000000000005,3,Bhubaneswar Railway Station(Bhubaneswar) -> ISKCON Temple(Bhubaneswar) -> Odisha State Museum(Bhubaneswar)
