source,destination,average_rating,cost,time,no of places,path
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.2,183.0,6.73,3,Visakhapatnam Railway Station(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.35,89.0,4.16,2,Visakhapatnam Railway Station(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.275,745.0,16.26,4,Visakhapatnam Railway Station(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.38,1315.0,24.51,5,Visakhapatnam Railway Station(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Araku Valley(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.38,1353.0,25.290000000000003,5,Visakhapatnam Railway Station(Visakhapatnam) -> Araku Valley(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.275,858.0,16.56,4,Visakhapatnam Railway Station(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.38,1428.0,24.81,5,Visakhapatnam Railway Station(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Araku Valley(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.38,1493.0,25.61,5,Visakhapatnam Railway Station(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Araku Valley(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.35,1033.0,19.040000000000003,4,Visakhapatnam Railway Station(Visakhapatnam) -> Araku Valley(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.3999999999999995,610.0,12.99,3,Visakhapatnam Railway Station(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.38,1708.0,28.87,5,Visakhapatnam Railway Station(Visakhapatnam) -> Araku Valley(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.38,1735.0,28.89,5,Visakhapatnam Railway Station(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Araku Valley(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.35,1173.0,19.36,4,Visakhapatnam Railway Station(Visakhapatnam) -> INS Kursurs Submarine Museum(Visakhapatnam) -> Araku Valley(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.5,1218.0,22.02,4,Visakhapatnam Railway Station(Visakhapatnam) -> Araku Valley(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.5,1245.0,22.04,4,Visakhapatnam Railway Station(Visakhapatnam) -> Borra Caves(Visakhapatnam) -> Araku Valley(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)
Visakhapatnam Railway Station(Visakhapatnam),Ramakrishna Beach(Visakhapatnam),4.5,963.0,16.57,3,Visakhapatnam Railway Station(Visakhapatnam) -> Araku Valley(Visakhapatnam) -> Ramakrishna Beach(Visakhapatnam)

time taken: 26.296218872070312
